Id	SvId	IsStart	Gene	TranscriptId	Canonical	IsUpstream	Disruptive	ReportedDisruption	UndisruptedCopyNumber	RegionType	CodingContext	Biotype	ExonBasePhase	NextSpliceRank	NextSplicePhase	NextSpliceDistance	TotalExonCount
0	1	true	IGSF11	ENST00000393775	true	true	false	false	0.8245923443028607	Upstream	Coding	protein_coding	-1	0	-1	67161	7
1	1	true	C3orf30	ENST00000295622	true	false	false	false	0.8245923443028607	Upstream	Coding	protein_coding	-1	2	0	3148	3
2	1	true	RP11-484M3.5	ENST00000490594	true	false	false	false	0.8245923443028607	Upstream	Coding	protein_coding	-1	2	0	42743	2
3	1	true	UPK1B	ENST00000264234	true	false	false	false	0.8245923443028607	Upstream	5P_UTR	protein_coding	-1	2	-1	41682	8
4	1	true	B4GALT4-AS1	ENST00000470790	true	false	false	false	0.8245923443028607	Upstream	NonCoding	antisense	-1	2	-1	85113	4
5	3	true	IGSF11	ENST00000393775	true	false	false	false	1.4049638020214856	Upstream	Coding	protein_coding	-1	2	1	110156	7
6	3	true	C3orf30	ENST00000295622	true	true	false	false	1.4049638020214856	Upstream	Coding	protein_coding	-1	0	-1	-1	3
7	3	true	RP11-484M3.5	ENST00000490594	true	true	false	false	1.4049638020214856	Upstream	Coding	protein_coding	-1	0	-1	-1	2
8	3	true	UPK1B	ENST00000264234	true	true	false	false	1.4049638020214856	Upstream	5P_UTR	protein_coding	-1	0	-1	-14849	8
9	3	true	B4GALT4-AS1	ENST00000470790	true	true	false	false	1.4049638020214856	Upstream	NonCoding	antisense	-1	0	-1	-58873	4
10	3	false	GRIK4	ENST00000527524	true	false	false	false	0.7099999999999997	Intronic	Coding	protein_coding	-1	4	1	58325	21
11	4	true	GRIK4	ENST00000527524	true	true	false	false	0.7199999999999998	Intronic	Coding	protein_coding	-1	3	1	83968	21
12	5	true	KIRREL3	ENST00000525144	true	false	false	false	0.8599999999999999	Intronic	Coding	protein_coding	-1	2	1	360484	17
13	5	true	RP11-688I9.4	ENST00000530572	true	false	false	false	0.8599999999999999	Intronic	NonCoding	lincRNA	-1	2	-1	2853	2
14	5	true	KIRREL3-AS2	ENST00000532988	true	true	false	false	0.8599999999999999	Upstream	NonCoding	antisense	-1	0	-1	-1	3
15	5	true	RP11-688I9.2	ENST00000531585	true	true	false	false	0.8599999999999999	Upstream	NonCoding	antisense	-1	0	-1	-21533	2
16	5	true	KIRREL3-AS3	ENST00000525678	true	true	false	false	0.8599999999999999	Upstream	NonCoding	antisense	-1	0	-1	-71685	3
17	5	true	AP002833.1	ENST00000404882	true	true	false	false	0.8599999999999999	Upstream	NonCoding	pseudogene	-1	0	-1	-71685	2
18	5	true	RP11-168K9.1	ENST00000530177	true	true	false	false	0.8599999999999999	Upstream	NonCoding	lincRNA	-1	0	-1	-82471	3
19	5	false	KIRREL3	ENST00000525144	true	true	false	false	0.8599999999999999	Intronic	Coding	protein_coding	-1	1	1	73973	17
20	5	false	RP11-688I9.4	ENST00000530572	true	true	false	false	0.8599999999999999	Intronic	NonCoding	lincRNA	-1	1	-1	13967	2
21	5	false	KIRREL3-AS2	ENST00000532988	true	false	false	false	0.8599999999999999	Upstream	NonCoding	antisense	-1	2	-1	17834	3
22	5	false	RP11-688I9.2	ENST00000531585	true	false	false	false	0.8599999999999999	Upstream	NonCoding	antisense	-1	2	-1	68598	2
23	5	false	KIRREL3-AS3	ENST00000525678	true	false	false	false	0.8599999999999999	Upstream	NonCoding	antisense	-1	2	-1	78544	3
24	5	false	AP002833.1	ENST00000404882	true	false	false	false	0.8599999999999999	Upstream	NonCoding	pseudogene	-1	2	0	77345	2
25	5	false	RP11-168K9.1	ENST00000530177	true	false	false	false	0.8599999999999999	Upstream	NonCoding	lincRNA	-1	2	-1	108992	3
26	6	true	RP11-894P9.1	ENST00000498989	true	true	false	false	0.99	Upstream	NonCoding	antisense	-1	0	-1	-10614	2
27	6	true	RP11-73M18.10	ENST00000602722	true	true	false	false	0.99	Upstream	NonCoding	antisense	-1	0	-1	-6647	1
28	6	true	XRCC3	ENST00000553264	true	true	false	false	0.99	Intronic	Coding	protein_coding	-1	4	1	1339	8
29	6	true	AL049840.1	ENST00000429169	true	false	false	false	0.99	Upstream	5P_UTR	protein_coding	-1	1	-1	5606	1
30	6	true	RP11-73M18.9	ENST00000602383	true	false	false	false	0.99	Upstream	NonCoding	lincRNA	-1	1	-1	7903	1
31	6	true	ZFYVE21	ENST00000216602	true	false	false	false	0.99	Upstream	Coding	protein_coding	-1	2	0	21128	8
32	6	true	RP11-73M18.11	ENST00000604583	true	false	false	false	0.99	Upstream	NonCoding	transcribed_processed_pseudogene	-1	1	-1	57139	1
33	7	true	CTD-2522B17.5	ENST00000566406	true	true	false	false	1.99248	Upstream	NonCoding	processed_pseudogene	-1	0	-1	-10279	1
34	7	true	CTD-2522B17.4	ENST00000566845	true	true	false	false	1.99248	Upstream	NonCoding	processed_pseudogene	-1	0	-1	-8731	1
35	7	true	AC136932.2	ENST00000583871	true	true	false	false	1.99248	Upstream	NonCoding	miRNA	-1	0	-1	7751	1
36	7	true	AC136932.1	ENST00000385251	true	false	false	false	1.99248	Upstream	NonCoding	miRNA	-1	1	-1	6900	1
37	7	true	RNA5-8SP2	ENST00000363564	true	false	false	false	1.99248	Upstream	NonCoding	rRNA	-1	1	-1	10674	1
38	8	true	METTL16	ENST00000263092	true	false	false	false	0.9599999999999997	Upstream	5P_UTR	protein_coding	-1	2	-1	13989	10
39	8	true	PAFAH1B1	ENST00000397195	true	true	false	false	0.9599999999999997	Upstream	5P_UTR	protein_coding	-1	0	-1	-1	11
40	8	false	EIF4A1P9	ENST00000576035	true	true	false	false	0.95	Upstream	NonCoding	processed_pseudogene	-1	0	-1	-55509	2
41	8	false	PAFAH1B1	ENST00000397195	true	false	true	false	0.95	Intronic	Coding	protein_coding	-1	6	0	710	11
42	8	false	SAMD11P1	ENST00000571429	true	true	false	false	0.95	Upstream	NonCoding	processed_pseudogene	-1	0	-1	14259	1
