svId	clusterId	clusterReason	fragileSiteStart	fragileSiteEnd	isFoldback	lineTypeStart	lineTypeEnd	ploidyMin	ploidyMax	geneStart	geneEnd	replicationTimingStart	replicationTimingEnd	localTopologyIdStart	localTopologyIdEnd	localTopologyStart	localTopologyEnd	localTICountStart	localTICountEnd
0	1	Prox_8	false	false	false	None	None	-0.6909	2.8309	AKT3	AKT3	0.2875	0.0000	1	-1	DSB		0	0
2	4		false	false	false	None	None	0.1954	1.8963			0.5375	0.5375	0	0	DSB	DSB	0	0
3	5	Prox_4	false	false	false	None	None	-0.4540	1.6181			0.5388	0.0000	1	-1	DSB		0	0
4	5	Prox_5	false	false	false	Known;Suspect	None	-0.4639	1.1959	HCG4P5;HLA-W	HCG4P5;HLA-W	0.6729	0.5388	0	1	COMPLEX_LINE	DSB	0	0
5	5	Prox_4	false	false	false	Known;Suspect	None	-0.1736	0.2447	HCG4P5;HLA-W	HCG4P5;HLA-W	0.6729	0.5060	0	2	COMPLEX_LINE	ISOLATED_BE	0	0
6	0		false	false	false	None	None	-0.1810	0.2717	SYT9	SYT9	0.0000	0.0000	0	0	SAME_ORIENT	SAME_ORIENT	0	0
8	1	Prox_12	false	false	false	None	None	0.0085	2.0528	AKT3	AKT3	0.2875	0.3861	1	0	DSB	TI_ONLY	0	1
9	2		false	false	false	None	None	-0.3687	0.8100			0.3699	0.3083	0	1	ISOLATED_BE	ISOLATED_BE	0	0
10	3	Prox_11	false	false	false	None	None	1.5582	2.8490			0.3709	0.2770	0	1	ISOLATED_BE	DSB	0	0
11	3	Prox_10	false	false	false	None	None	0.4807	7.1793	MYO1D	MYO1D	0.2770	0.0000	1	-1	DSB		0	0
12	1	Prox_8	false	false	false	None	None	-0.0482	1.9780	GRIK4	GRIK4	0.3865	0.1093	0	2	TI_ONLY	DSB	1	0
13	1	Prox_12	false	false	false	None	None	-0.7675	2.5575	ISCA1P3	ISCA1P3	0.1093	0.0000	2	-1	DSB		0	0
