SampleId	ClusterId	ChainId	SvId	Type	ResolvedType	IsSynthetic	ChrStart	ChrEnd	PosStart	PosEnd	OrientStart	OrientEnd	InfoStart	InfoEnd	Ploidy
5FU-PATIENT4-N-CLONE2	3	1	1	DUP	DUP	false	1	1	209781265	209781344	-1	1	NORMAL	NORMAL	1.0466
5FU-PATIENT4-N-CLONE2	4	1	2	DEL	DEL	false	2	2	111878508	111878566	1	-1	NORMAL	NORMAL	0.5447
5FU-PATIENT4-N-CLONE2	2	1	3	BND	PAIR_OTHER	false	1	5	108113178	71146483	-1	-1	NORMAL	NORMAL	0.0673
5FU-PATIENT4-N-CLONE2	2	2	4	BND	PAIR_OTHER	false	2	5	133038258	71146942	1	1	NORMAL	NORMAL	0.0331
5FU-PATIENT4-N-CLONE2	6	1	6	INF	SGL_PAIR_DEL	false	10	-1	132840000	0	1	0	NORMAL		0.7930
5FU-PATIENT4-N-CLONE2	6	2	7	SGL	SGL_PAIR_DEL	false	10	-1	132862678	0	-1	0	NORMAL		0.8300
5FU-PATIENT4-N-CLONE2	1	2	8	BND	COMPLEX	false	5	11	122990837	85195011	1	-1	NORMAL	NORMAL	9.9600
5FU-PATIENT4-N-CLONE2	1	0	9	BND	COMPLEX	false	11	17	85194813	33477888	-1	-1	NORMAL	NORMAL	208.2830
5FU-PATIENT4-N-CLONE2	1	0	10	SGL	COMPLEX	false	17	-1	33478275	0	1	0	NORMAL		98.4967
5FU-PATIENT4-N-CLONE2	1	3	11	BND	COMPLEX	false	11	19	85195516	24185831	1	1	NORMAL	NORMAL	0.0342
5FU-PATIENT4-N-CLONE2	0	1	12	BND	LOW_VAF	false	3	Y	75718782	13488717	1	-1	NORMAL	NORMAL	0.0385
