clusterId	resolvedType	synthetic	subClonal	subType	clusterCount	clusterDesc
0	ARTIFACT	false	true	LOW_VAF	1	BND
1	RECIPROCAL	false	false	RECIP_TRANS	2	BND=2
2	SIMPLE	false	false	DEL	1	DEL
3	DOUBLE_MINUTE	false	false	DOUBLE_MINUTE	4	BND=3_SGL=1
4	RECIPROCAL	false	false	RECIP_TRANS	2	BND=2
6	RECIPROCAL	false	false	RECIP_TRANS	2	BND=2
7	SIMPLE	false	false	DEL	1	DEL
8	COMPLEX	false	false	PAIR_OTHER	2	BND=1_INF=1
11	SIMPLE	false	false	DEL	1	DEL
12	SIMPLE	false	false	DEL	1	DEL
13	SIMPLE	false	false	DEL	1	DEL
14	SIMPLE	false	false	DEL	1	DEL
15	SIMPLE	false	false	DEL	1	DEL
16	COMPLEX	false	false	COMPLEX	6	BND=4_INF=2
18	SIMPLE	false	false	DEL	1	DEL
19	SIMPLE	false	false	DEL	1	DEL
20	SIMPLE	false	false	DEL	1	DEL
21	INCOMPLETE	false	false	INF	1	INF
22	SIMPLE	false	false	DEL	1	DEL
23	SIMPLE	false	false	DEL	1	DEL
24	SIMPLE	false	false	DEL	1	DEL
25	SIMPLE	false	false	DEL	1	DEL
26	COMPLEX	false	false	COMPLEX	9	DEL=2_DUP=1_INV=6
27	SIMPLE	false	false	DEL	1	DEL
5	COMPLEX	false	false	COMPLEX	6	BND=4_DUP=1_INF=1
29	COMPLEX	false	false	UNBAL_TRANS	1	BND
30	SIMPLE	false	false	DEL	1	DEL
31	RECIPROCAL	false	false	RECIP_INV	2	INV=2
