clusterId	chainId	chainIndex	chainCount	lowerBreakendId	upperBreakendId	lowerBreakendIsStart	upperBreakendIsStart	chromosome	arm	assembled	traversedSVCount	length	ploidy	ploidyUncertainty	pseudogeneInfo
3	0	0	2	47	48	false	true	17	Q	false	0	162	164.4405	23.8178	
3	1	0	2	31	54	false	true	11	Q	false	0	476	49.9387	24.307	
16	0	0	2	4	56	true	true	2	Q	false	0	1002	16.283	3.2906	
26	0	0	6	19	20	true	true	8	Q	false	0	304	1.076	0.232	
26	0	1	6	18	19	false	false	8	Q	false	0	186	1.076	0.232	
26	0	2	6	18	17	true	true	8	Q	false	0	245	1.076	0.232	
26	0	3	6	24	17	true	false	8	Q	false	0	703	1.076	0.232	
26	0	4	6	24	25	false	false	8	Q	false	0	394	1.076	0.232	
26	1	0	3	21	23	false	false	8	Q	false	0	270	1.076	0.2895	
26	1	1	3	22	23	true	true	8	Q	false	0	293	1.076	0.2895	
31	0	0	2	58	59	true	false	21	Q	false	0	17109	0.9542	0.3196	
