Id	SvId	IsStart	Gene	TranscriptId	Canonical	IsUpstream	Disruptive	ReportedDisruption	UndisruptedCopyNumber	RegionType	CodingContext	Biotype	ExonBasePhase	NextSpliceRank	NextSplicePhase	NextSpliceDistance	TotalExonCount
0	0	true	RP11-465O11.2	ENST00000605230	true	false	false	false	1.996	Upstream	NonCoding	processed_pseudogene	-1	1	-1	1648	1
1	0	true	SULT1C4	ENST00000272452	true	false	false	false	1.996	Upstream	Coding	protein_coding	-1	2	1	16294	7
2	0	true	RP11-465O11.1	ENST00000603004	true	false	false	false	1.996	Upstream	NonCoding	processed_pseudogene	-1	1	-1	58144	1
3	0	true	GCC2	ENST00000309863	true	false	false	false	1.996	Upstream	Coding	protein_coding	-1	2	0	84165	23
4	0	false	SULT1C4	ENST00000272452	true	true	true	false	2.004	Intronic	Coding	protein_coding	-1	5	0	1677	7
5	0	false	RP11-465O11.1	ENST00000603004	true	true	false	false	2.004	Upstream	NonCoding	processed_pseudogene	-1	0	-1	-2133	1
6	0	false	GCC2	ENST00000309863	true	true	false	false	2.004	Upstream	Coding	protein_coding	-1	0	-1	-38425	23
7	1	true	ANKRD30BL	ENST00000295181	true	false	false	false	1.952	Upstream	Coding	nonsense_mediated_decay	-1	2	2	108341	7
8	1	true	RNA5-8SP5	ENST00000365304	true	false	false	false	1.952	Upstream	NonCoding	rRNA	-1	1	-1	16991	1
9	1	true	MIR663B	ENST00000408361	true	false	false	false	1.952	Upstream	NonCoding	miRNA	-1	1	-1	13216	1
10	1	true	ZNF806	ENST00000438300	true	true	false	false	1.952	Upstream	NonCoding	unprocessed_pseudogene	-1	0	-1	7968	3
11	1	true	FAM201B	ENST00000545408	true	true	false	false	1.952	Upstream	NonCoding	processed_pseudogene	-1	0	-1	-46813	1
12	1	false	ANKRD30BL	ENST00000295181	true	true	false	false	1.959	Upstream	Coding	nonsense_mediated_decay	-1	0	-1	15578	7
13	1	false	RNA5-8SP5	ENST00000365304	true	true	false	false	1.959	Upstream	NonCoding	rRNA	-1	0	-1	-13234	1
14	1	false	MIR663B	ENST00000408361	true	true	false	false	1.959	Upstream	NonCoding	miRNA	-1	0	-1	-12345	1
15	1	false	ZNF806	ENST00000438300	true	false	false	false	1.959	Upstream	NonCoding	unprocessed_pseudogene	-1	2	-1	42555	3
16	1	false	FAM201B	ENST00000545408	true	false	false	false	1.959	Upstream	NonCoding	processed_pseudogene	-1	1	0	82353	1
17	5	true	RP11-297L6.1	ENST00000547527	true	true	false	false	1.983	Upstream	NonCoding	unprocessed_pseudogene	-1	0	-1	-1	4
