Id	SvId	IsStart	Gene	TranscriptId	Canonical	IsUpstream	Disruptive	ReportedDisruption	UndisruptedCopyNumber	RegionType	CodingContext	Biotype	ExonBasePhase	NextSpliceRank	NextSplicePhase	NextSpliceDistance	TotalExonCount
0	1	true	ANKRD30BL	ENST00000295181	true	true	false	false	-42.50256980028622	Upstream	Coding	nonsense_mediated_decay	-1	0	-1	5207	7
1	1	true	RNA5-8SP5	ENST00000365304	true	true	false	false	-42.50256980028622	Upstream	NonCoding	rRNA	-1	0	-1	-23605	1
2	1	true	MIR663B	ENST00000408361	true	true	false	false	-42.50256980028622	Upstream	NonCoding	miRNA	-1	0	-1	-22716	1
3	1	true	ZNF806	ENST00000438300	true	false	false	false	-42.50256980028622	Upstream	NonCoding	unprocessed_pseudogene	-1	2	-1	32184	3
4	1	true	FAM201B	ENST00000545408	true	false	false	false	-42.50256980028622	Upstream	NonCoding	processed_pseudogene	-1	1	0	71982	1
5	2	true	ENTPD3-AS1	ENST00000425156	true	false	false	false	1.2389999999999999	Upstream	NonCoding	antisense	-1	2	-1	29935	4
6	2	true	ZNF619	ENST00000447116	true	true	false	false	1.2389999999999999	Intronic	Coding	protein_coding	-1	5	1	536	6
7	2	true	ZNF620	ENST00000314529	true	true	false	false	1.2389999999999999	Upstream	5P_UTR	protein_coding	-1	0	-1	-3566	5
8	2	true	ZNF621	ENST00000339296	true	true	false	false	1.2389999999999999	Upstream	5P_UTR	protein_coding	-1	0	-1	-32620	5
9	2	false	ENTPD3-AS1	ENST00000425156	true	true	false	false	1.242	Upstream	NonCoding	antisense	-1	0	-1	15690	4
10	2	false	ZNF619	ENST00000447116	true	false	false	false	1.242	Intronic	Coding	protein_coding	-1	6	1	3493	6
11	2	false	ZNF620	ENST00000314529	true	false	false	false	1.242	Upstream	5P_UTR	protein_coding	-1	2	-1	22991	5
12	2	false	ZNF621	ENST00000339296	true	false	false	false	1.242	Upstream	5P_UTR	protein_coding	-1	2	-1	42466	5
13	3	true	FHIT	ENST00000468189	true	true	false	false	2.001	Intronic	5P_UTR	protein_coding	-1	3	-1	83628	9
14	3	false	FHIT	ENST00000468189	true	false	false	false	1.9809999999999999	Intronic	5P_UTR	protein_coding	-1	4	-1	136461	9
15	4	true	GPR156	ENST00000464295	true	true	false	false	0.8599999999999999	Upstream	5P_UTR	protein_coding	-1	0	-1	8836	10
16	4	true	RP11-174O3.3	ENST00000494869	true	false	false	false	0.8599999999999999	Upstream	NonCoding	antisense	-1	2	-1	43888	3
17	4	true	RP11-174O3.4	ENST00000467756	true	false	false	false	0.8599999999999999	Upstream	NonCoding	processed_pseudogene	-1	2	-1	66593	2
18	4	false	MARK2P8	ENST00000476069	true	true	false	false	0.9726559679529854	Upstream	NonCoding	processed_pseudogene	-1	0	-1	-68478	1
19	4	false	FTH1P4	ENST00000480365	true	true	false	false	0.9726559679529854	Upstream	NonCoding	processed_pseudogene	-1	0	-1	-34294	1
20	4	false	RPS15AP16	ENST00000472521	true	true	false	false	0.9726559679529854	Upstream	NonCoding	processed_pseudogene	-1	0	-1	10909	1
21	4	false	RP11-723O4.3	ENST00000505910	true	false	false	false	0.9726559679529854	Upstream	NonCoding	processed_pseudogene	-1	2	-1	36375	2
22	4	false	ACAD9	ENST00000308982	true	false	false	false	0.9726559679529854	Upstream	Coding	protein_coding	-1	2	0	51158	18
23	5	true	ATR	ENST00000350721	true	false	false	false	0.8999999999999999	Intronic	Coding	protein_coding	-1	3	1	1629	47
24	5	true	RP11-383G6.3	ENST00000460977	true	false	false	false	0.8999999999999999	Upstream	NonCoding	sense_overlapping	-1	2	-1	95553	2
