clusterId	resolvedType	synthetic	subClonal	subType	clusterCount	clusterDesc
0	SIMPLE	false	false	DEL	1	DEL
1	SIMPLE	false	false	DEL	1	DEL
2	RECIPROCAL	false	false	RECIP_INV	2	INV=2
3	SIMPLE	false	false	DEL	1	DEL
5	SIMPLE	false	false	DEL	1	DEL
6	SIMPLE	false	false	DEL	1	DEL
8	SIMPLE	false	false	DEL	1	DEL
9	SIMPLE	false	false	DEL	1	DEL
10	SIMPLE	false	false	DEL	1	DEL
11	TEMPLATED_INSERTION	true	false	DEL_TI	3	BND=2_INV=1
12	SIMPLE	false	true	DEL	1	DEL
13	SIMPLE	false	false	DEL	1	DEL
14	SIMPLE	false	false	DEL	1	DEL
15	COMPLEX	false	false	SIMPLE_GRP	2	DEL=2
18	DOUBLE_MINUTE	false	false	DOUBLE_MINUTE	4	BND=2_INF=2
22	COMPLEX	false	false	COMPLEX	7	BND=5_INF=2
20	COMPLEX	false	false	COMPLEX	4	BND=2_INF=2
23	SIMPLE	false	false	DEL	1	DEL
24	SIMPLE	false	false	DUP	1	DUP
25	SIMPLE	false	false	DEL	1	DEL
26	SIMPLE	false	false	DEL	1	DEL
27	INCOMPLETE	true	false	INV	3	DEL=1_INV=2
28	SIMPLE	false	false	DEL	1	DEL
29	SIMPLE	false	false	DEL	1	DEL
30	SIMPLE	false	false	DEL	1	DEL
31	SIMPLE	false	false	DEL	1	DEL
32	SIMPLE	false	false	DEL	1	DEL
33	RECIPROCAL	false	false	RECIP_INV	2	INV=2
34	SIMPLE	false	false	DEL	1	DEL
36	RECIPROCAL	false	false	RECIP_INV_DEL_DUP	2	INV=2
37	SIMPLE	false	false	DEL	1	DEL
38	SIMPLE	false	false	DEL	1	DEL
39	RECIPROCAL	false	false	RECIP_TRANS	2	BND=2
40	INCOMPLETE	false	true	INV	1	INV
41	SIMPLE	false	false	DEL	1	DEL
42	COMPLEX	false	false	UNBAL_TRANS	1	BND
43	SIMPLE	false	false	DEL	1	DEL
44	SIMPLE	false	false	DEL	1	DEL
45	SIMPLE	false	false	DEL	1	DEL
46	SIMPLE	false	false	DEL	1	DEL
47	SIMPLE	false	false	DEL	1	DEL
