clusterId	resolvedType	synthetic	subClonal	subType	clusterCount	clusterDesc
0	ARTIFACT	false	false	PAIR_INF	1	INF
1	ARTIFACT	false	false	PAIR_INF	1	INF
2	INSERTION	false	true	LINE	1	BND
3	SIMPLE	false	false	DEL	1	DEL
5	SIMPLE	false	false	DEL	1	DEL
7	COMPLEX	true	true	UNBAL_TRANS	2	BND=2
8	COMPLEX	false	false	COMPLEX	3	BND=2_DEL=1
9	COMPLEX	false	false	PAIR_OTHER	2	DEL=1_INV=1
11	SIMPLE	false	false	DEL	1	DEL
12	SIMPLE	false	false	DEL	1	DEL
13	SIMPLE	false	false	DEL	1	DEL
14	SIMPLE	false	false	DEL	1	DEL
15	SIMPLE	false	false	DEL	1	DEL
16	SIMPLE	true	false	DEL	2	BND=2
17	SIMPLE	false	false	DUP	1	DUP
18	RECIPROCAL	false	true	RECIP_INV	2	INV=2
19	SIMPLE	false	false	DEL	1	DEL
20	RECIPROCAL	false	false	RECIP_INV	2	INV=2
21	SIMPLE	false	false	DEL	1	DEL
22	SIMPLE	false	false	DEL	1	DEL
23	SIMPLE	false	false	DUP	1	DUP
24	SIMPLE	false	false	DEL	1	DEL
25	SIMPLE	false	false	DEL	1	DEL
26	SIMPLE	false	false	DEL	1	DEL
27	COMPLEX	false	false	PAIR_OTHER	2	BND=1_DUP=1
28	SIMPLE	false	false	DEL	1	DEL
29	SIMPLE	false	false	DEL	1	DEL
30	SIMPLE	false	false	DEL	1	DEL
31	SIMPLE	false	false	DUP	1	DUP
32	SIMPLE	false	false	DEL	1	DEL
33	SIMPLE	false	false	DUP	1	DUP
