svId	clusterId	clusterReason	fragileSiteStart	fragileSiteEnd	isFoldback	lineTypeStart	lineTypeEnd	ploidyMin	ploidyMax	geneStart	geneEnd	replicationTimingStart	replicationTimingEnd	localTopologyIdStart	localTopologyIdEnd	localTopologyStart	localTopologyEnd	localTICountStart	localTICountEnd
0	31	Prox_2	false	false	false	None	None	0.0109	1.8391	AGO3	AGO3	0.7266	0.7266	0	0	SIMPLE_DUP	SIMPLE_DUP	0	0
1	33	Prox_2	false	false	false	None	None	0.1866	1.9184	AGO3	AGO3	0.7266	0.4437	0	1	ISOLATED_BE	ISOLATED_BE	0	0
2	32	Prox_0	false	false	false	None	None	0.1648	1.8951	AGO3	AGO3	0.7266	0.4437	0	1	ISOLATED_BE	ISOLATED_BE	0	0
3	11		false	false	false	None	None	0.0473	1.7213	ELOVL1	ELOVL1	0.7619	0.7619	0	0	DSB	DSB	0	0
5	12		false	false	false	None	None	0.6746	1.3173			0.4938	0.4940	0	0	DSB	DSB	0	0
6	13		false	false	false	None	None	0.6773	1.3253			0.4368	0.4385	0	0	DSB	DSB	0	0
7	14		false	false	false	None	None	0.2397	2.0002			0.5019	0.5019	0	0	DSB	DSB	0	0
8	15		false	false	false	None	None	0.1987	1.8968	SATB1;AC144521.1	SATB1;AC144521.1	0.2222	0.2216	0	0	DSB	DSB	0	0
9	17		false	false	false	None	None	0.1351	2.1565	ALCAM	ALCAM	0.5069	0.5069	0	0	SIMPLE_DUP	SIMPLE_DUP	0	0
11	18	Prox_12	false	false	false	None	None	-0.2081	0.3641	RP11-427M20.1	RP11-427M20.1	0.4169	0.4124	0	1	DSB	DSB	0	0
12	18	Prox_11	false	false	false	None	None	-0.2285	0.3982	RP11-427M20.1	RP11-427M20.1	0.4169	0.4124	0	1	DSB	DSB	0	0
13	19		false	false	false	None	None	0.7203	1.3720	RP11-775H9.2	RP11-775H9.2	0.3856	0.3858	0	0	DSB	DSB	0	0
14	20	Prox_15	false	false	false	None	None	0.2008	1.8657			0.6232	0.6232	0	0	DSB	DSB	1	1
15	20	Prox_14	false	false	false	None	None	0.2596	1.9244			0.6232	0.6232	0	0	DSB	DSB	1	1
16	21		false	false	false	None	None	0.5610	1.3436	KATNBL1P4	KATNBL1P4	0.3778	0.3766	0	0	DSB	DSB	0	0
17	22		false	false	false	None	None	0.0820	1.7943			0.4054	0.4057	0	0	DSB	DSB	0	0
18	23		false	false	false	None	None	0.0872	2.1343			0.4302	0.4302	0	0	SIMPLE_DUP	SIMPLE_DUP	0	0
19	24		false	false	false	None	None	-0.0341	1.6264	RNA5SP261	RNA5SP261	0.1400	0.1400	0	0	DSB	DSB	0	0
20	25		false	false	false	None	None	0.8899	1.6799	RP11-10H3.1	RP11-10H3.1	0.4855	0.4846	0	0	DSB	DSB	0	0
21	27	Prox_27	false	false	false	None	None	-0.5273	0.7783	AL161626.1	AL161626.1	0.3681	0.3681	1	1	COMPLEX_OTHER	COMPLEX_OTHER	0	0
23	28		false	false	false	None	None	0.2253	1.9088	ASTN2	ASTN2	0.2380	0.2380	0	0	DSB	DSB	0	0
24	16	Prox_25	false	false	false	None	None	0.1079	1.8589			0.1141	0.3974	0	1	TI_ONLY	DSB	1	0
25	16	Prox_24	false	false	false	None	None	0.1892	1.9722			0.1141	0.3974	0	1	TI_ONLY	DSB	1	0
26	2		false	false	false	Known	None	-0.1662	0.2355			0.3887	0.2543	1	0	ISOLATED_BE	ISOLATED_BE	0	0
27	27	Prox_21	false	false	false	None	None	-0.1662	0.2260	AL161626.1	AL161626.1	0.3681	0.2723	1	0	COMPLEX_OTHER	ISOLATED_BE	0	0
28	5		false	false	false	None	None	0.6452	1.4188	CCT5P2	CCT5P2	0.2074	0.2086	0	0	DSB	DSB	0	0
29	29	Prox_30	false	false	false	None	None	0.1994	1.9225			0.5734	0.5734	0	0	DSB	DSB	0	0
30	30	Prox_29	false	false	false	None	None	0.2656	1.9965			0.5720	0.5720	0	0	DSB	DSB	0	0
31	0		false	false	false	None	None	0.8092	1.2308	AC005562.1;SMURF2P1	AC005562.1;SMURF2P1	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
32	1		false	false	false	None	None	0.7996	1.2204	LRRC37B;SH3GL1P1	LRRC37B;SH3GL1P1	0.0000	0.0000	0	-1	ISOLATED_BE		0	0
33	8	Prox_35	false	false	false	None	None	0.6920	1.1046	MYOF	MYOF	0.7662	0.5141	1	0	DSB	DSB	0	1
34	8	Prox_33	false	false	false	None	None	0.6995	1.1120	MYOF	MYOF	0.7662	0.5141	1	0	DSB	DSB	0	1
35	8	Prox_33	false	false	false	None	None	0.1308	1.8496			0.5141	0.5141	0	0	DSB	DSB	1	1
36	9	Prox_37	false	false	false	None	None	0.4321	1.2769			0.4893	0.4898	0	0	COMPLEX_OTHER	COMPLEX_OTHER	0	0
37	9	Prox_36	false	false	false	None	None	-0.1235	1.3970			0.4897	0.4899	0	0	COMPLEX_OTHER	COMPLEX_OTHER	0	0
38	7	Prox_39	false	false	false	None	None	-0.3768	0.6231	PHKB;RNA5SP425	PHKB;RNA5SP425	0.3474	0.6982	1	2	ISOLATED_BE	TI_ONLY	0	1
39	7	Prox_38	false	false	false	None	None	-0.3170	0.4864			0.3714	0.6982	0	2	ISOLATED_BE	TI_ONLY	0	1
40	3		false	false	false	None	None	0.2312	1.9171	PARVB	PARVB	0.6846	0.6841	0	0	DSB	DSB	0	0
41	26		false	false	false	None	None	0.3602	2.0810			0.3445	0.3439	0	0	DSB	DSB	0	0
