clusterId	resolvedType	synthetic	subClonal	subType	clusterCount	clusterDesc
0	ARTIFACT	false	true	LOW_VAF	1	BND
3	COMPLEX	false	false	COMPLEX	8	BND=5_DUP=1_INF=1_SGL=1
2	INSERTION	false	false	LINE	3	BND=1_SGL=2
4	SIMPLE	true	false	DEL	2	BND=2
5	RECIPROCAL	false	false	RECIP_INV	2	INV=2
6	SIMPLE	false	false	DEL	1	DEL
9	SIMPLE	false	false	DEL	1	DEL
10	SIMPLE	false	false	DEL	1	DEL
11	SIMPLE	false	false	SGL_PAIR_DUP	2	SGL=2
12	INCOMPLETE	false	true	INV	1	INV
13	COMPLEX	false	false	COMPLEX	3	BND=2_DEL=1
14	RECIPROCAL	true	false	RECIP_INV_DUPS	3	DEL=1_INV=2
15	SIMPLE	false	false	DEL	1	DEL
16	RECIPROCAL	false	false	RECIP_INV	2	INV=2
17	SIMPLE	false	false	DEL	1	DEL
18	INSERTION	false	true	LINE	1	SGL
19	COMPLEX	false	false	COMPLEX	4	BND=4
20	INSERTION	false	false	LINE	4	BND=2_SGL=2
21	SIMPLE	false	false	DEL	1	DEL
22	SIMPLE	false	false	DEL	1	DEL
23	SIMPLE	false	false	DEL	1	DEL
24	SIMPLE	false	false	DEL	1	DEL
25	SIMPLE	false	false	DEL	1	DEL
26	SIMPLE	false	false	DEL	1	DEL
27	SIMPLE	false	false	DEL	1	DEL
28	SIMPLE	false	false	DEL	1	DEL
29	RECIPROCAL	true	false	RECIP_INV	3	DUP=1_INV=2
31	SIMPLE	false	false	DUP	1	DUP
32	SIMPLE	false	false	DEL	1	DEL
33	SIMPLE	false	false	DEL	1	DEL
34	SIMPLE	false	false	DEL	1	DEL
35	SIMPLE	false	false	DEL	1	DEL
