SampleId	ClusterId	ChainId	SvId	Type	ResolvedType	IsSynthetic	ChrStart	ChrEnd	PosStart	PosEnd	OrientStart	OrientEnd	InfoStart	InfoEnd	Ploidy
5FU-PATIENT2-N-CLONE2	11	0	0	SGL	SGL_PAIR_DUP	false	1	-1	33037739	0	-1	0	NORMAL		1.6073
5FU-PATIENT2-N-CLONE2	11	0	1	SGL	SGL_PAIR_DUP	false	1	-1	33037781	0	1	0	NORMAL		1.6988
5FU-PATIENT2-N-CLONE2	12	1	3	INV	INV	false	1	1	49899180	49901079	-1	-1	FOLDBACK	FOLDBACK	0.0397
5FU-PATIENT2-N-CLONE2	13	2	5	DEL	COMPLEX	false	1	1	205050710	205050998	1	-1	NORMAL	NORMAL	1.1345
5FU-PATIENT2-N-CLONE2	14	0	6	DEL	RECIP_INV_DUPS	true	1	1	209114097	209116118	1	-1	NORMAL	NORMAL	0.9998
5FU-PATIENT2-N-CLONE2	14	0	7	INV	RECIP_INV_DUPS	true	1	1	209115942	209116263	-1	-1	NORMAL	NORMAL	1.1041
5FU-PATIENT2-N-CLONE2	14	0	8	INV	RECIP_INV_DUPS	true	1	1	209116123	209116339	1	1	NORMAL	NORMAL	1.1175
5FU-PATIENT2-N-CLONE2	15	1	9	DEL	DEL	false	2	2	5687973	5690362	1	-1	NORMAL	NORMAL	0.9422
5FU-PATIENT2-N-CLONE2	17	1	11	DEL	DEL	false	2	2	123853695	123855270	1	-1	NORMAL	NORMAL	1.0326
5FU-PATIENT2-N-CLONE2	18	1	12	SGL	LINE	false	2	-1	133016595	0	1	0	NORMAL		0.1260
5FU-PATIENT2-N-CLONE2	16	0	13	INV	RECIP_INV	false	2	2	116611234	143734475	1	1	NORMAL	NORMAL	0.8449
5FU-PATIENT2-N-CLONE2	16	0	14	INV	RECIP_INV	false	2	2	116611235	143734476	-1	-1	NORMAL	NORMAL	0.8438
5FU-PATIENT2-N-CLONE2	13	0	15	BND	COMPLEX	false	1	2	205050716	241947479	-1	1	NORMAL	NORMAL	0.9955
5FU-PATIENT2-N-CLONE2	13	0	16	BND	COMPLEX	false	1	2	205051002	241947489	1	-1	NORMAL	NORMAL	1.0869
5FU-PATIENT2-N-CLONE2	2	2	17	SGL	LINE	false	3	-1	76022827	0	1	0	NORMAL		0.6799
